 -9, -4, -5,
 -9, -2, 2,
 -10, -2, -8,
 -2, 0, -10,
 12, -5, 0,
 1, 8, 0,
 -14, -9, -5,
 -4, 3, -2,
 -7, 2, 7,
 7, -4, 6,
 -3, 6, -4,
 7, -2, -10,
 2, 2, -12,
 -4, 7, -5,
 2, -4, -3,
 -10, -1, 9,
 -3, -1, -2,
 -5, 6, 13,
 -2, -4, 10,
 -4, -2, -6,
 -4, -13, -3,
 2, 4, -4,
 -4, -9, 2,
 -4, 7, -5,
 1, -6, 5,
 -1, 7, -1,
 -2, -11, 4,
 -6, -6, -5,
 0, -8, -8,
 -3, 3, 2,
 -6, -10, -12,
 2, 8, 3,
 4, 0, 1,
 -4, 6, -2,
 -6, -6, 2,
 3, -6, 2,
 4, 3, -1,
 -2, -6, 0,
 5, 4, -15,
 -6, 4, -11,
 2, -4, -13,
 -4, -7, -7,
 11, 4, -16,
 1, 7, -5,
 2, -2, 6,
 2, -4, 0,
 0, 4, -10,
 -6, 4, 2,
 -2, 1, -11,
 0, 0, 5,
 5, -10, -2,
 -2, 7, -9,
 -8, 0, 0,
 -5, 7, -5,
 5, -4, 15,
 -10, -3, 3,
 -4, 0, 4,
 -2, 0, -4,
 0, -4, 0,
 9, -2, 0,
 0, -6, -1,
 -4, -6, 1,
 1, 4, -8,
 -2, -4, 6,
 -3, 8, -2,
 3, 5, 4,
 -4, -4, -6,
 3, -4, 6,
 -8, -4, -17,
 -1, 2, -5,
 5, 1, -2,
 -7, -2, 11,
 2, -6, -12,
 -4, -2, -2,
 3, 2, 3,
 3, 4, 0,
 5, -2, 0,
 -2, -4, 2,
 11, 1, 3,
 -2, 1, 8,
 2, 10, 2,
 -4, -2, -7,
 0, -4, 2,
 -4, 4, 2,
 -12, 4, -9,
 6, -2, 6,
 1, -4, 6,
 -6, 2, 10,
 -2, 0, 1,
 2, -6, 6,
 -2, 8, -13,
 -4, 0, -9,
 0, 13, -8,
 -4, -2, -2,
 0, -3, -3,
 -7, 5, -2,
 2, 0, -4,
 -2, 6, -10,
 0, 7, -11,
 11, 4, 7,
 3, 12, 4,
 -10, -3, 14,
 -2, 1, 4,
 0, 12, -9,
 -2, -2, 0,
 0, -10, -14,
 -1, -4, 6,
 -4, 2, 1,
 13, 16, 4,
 0, -10, -1,
 -4, -6, 6,
 -4, -4, 2,
 2, -9, -12,
 -10, 2, 2,
 0, 5, -3,
 -4, 6, -9,
 4, -4, 6,
 -3, -8, -2,
 -2, 2, 10,
 -10, 0, -6,
 -2, -4, 6,
 5, -6, -12,
 -6, -2, -1,
 -4, -10, -11,
 2, 2, -4,
 -7, -2, 9,
 0, -10, -2,
 3, 4, 10,
 -2, -4, -10,
 1, -10, 8,
 -8, 10, -9,
 -6, -4, 2,
 0, -10, 4,
 -10, 0, -1,
 4, -5, 0,
 0, -8, -8,
 -6, 0, 2,
 11, 0, 6,
 -4, 4, 0,
 -9, -4, 1,
 0, -5, 9,
 -6, -13, -12,
 2, -2, 2,
 -2, -8, -19,
 -6, 1, -7,
 -11, -4, -6,
 8, 3, -15,
 4, 3, -5,
 -1, -6, -3,
 5, -14, 0,
 6, -7, 9,
 6, 3, -2,
 1, -6, -17,
 -5, -11, -11,
 7, -2, 11,
 -11, -3, 0,
 3, 6, -2,
 14, -1, -3,
 0, -2, 5,
 0, -12, 14,
 -2, -2, -18,
 -8, -4, 3,
 4, 9, -9,
 12, -8, 2,
 3, -9, 2,
 -5, -6, -2,
 -9, 12, -3,
 -1, -10, -10,
 2, -1, -2,
 -3, 8, -3,
 4, 0, 1,
 9, 3, -7,
 0, -5, -1,
 3, 7, 19,
 -3, -5, -7,
 -2, -13, -2,
 -4, -12, -5,
 3, 0, 6,
 -2, 6, -5,
 -11, 6, -2,
 0, 0, -7,
 -10, 0, -7,
 -2, -1, -1,
 0, -1, -4,
 -4, 2, 2,
 -4, 4, -6,
 -12, 7, 2,
 -4, -4, -2,
 -6, 9, -6,
 3, 2, 1,
 1, 4, -4,
 -5, 7, -10,
 -4, 2, -1,
 -5, -6, -2,
 10, -6, -9,
 -4, 9, -2,
 -10, -4, 9,
 2, 11, 2,
 4, -6, 0,
 -6, -2, 8,
 4, 0, -7,
 -2, 15, 16,
 -4, -2, 0,
 14, 2, 4,
 7, 0, 7,
 0, -4, -1,
 -13, -2, 0,
 0, 0, 8,
 -1, 2, -16,
 7, 4, 5,
 -4, -11, -4,
 1, 4, -12,
 0, -4, -11,
 5, -11, 2,
 -12, 2, -4,
 9, -4, 3,
 -2, 2, 2,
 7, -14, 4,
 7, 1, 0,
 -8, 14, -7,
 -2, 8, 9,
 11, 4, -2,
 2, -1, 5,
 0, 0, -6,
 -2, 5, 6,
 -2, -6, 6,
 -1, 8, -2,
 2, -2, 6,
 -8, -3, -6,
 -1, 3, -5,
 3, -4, -3,
 4, 10, 0,
 0, 6, 0,
 -7, 0, 6,
 9, -10, 5,
 -3, -4, 2,
 -8, -10, -2,
 4, 9, 2,
 -2, -11, 0,
 0, 8, -4,
 1, -2, -8,
 0, -4, -15,
 3, 0, 3,
 -8, -2, 8,
 -8, 4, 1,
 9, -4, 0,
 -3, 4, -11,
 7, -10, 0,
 -2, 6, -9,
 2, -6, 10,
 -4, -2, 7,
 -2, -8, 2,
 3, -6, -8,
 7, 3, 5,
 3, 8, -1,
 -6, 7, 2,
 -12, 4, -12,
 4, -4, -14,
 -4, -6, -8,
 2, -4, 0,
 -10, -8, -8,
 1, -9, 10,
 -2, -4, -13,
 4, -7, -11,
 2, -2, 4,
 -6, -8, 4,
 2, 9, 2,
 -4, -2, 2,
 1, -6, 1,
 0, 3, 8,
 -2, 1, 5,
 1, -4, -12,
 -8, -2, 2,
 -6, 2, 9,
 5, 6, -7,
 -2, 6, -16,
 -4, -6, -11,
 4, 7, -3,
 -1, -6, -11,
 0, 4, -7,
 1, 6, -2,
 6, -8, 0,
 -5, -2, 3,
 -4, -6, 13,
 -6, 2, 7,
 -8, 9, 2,
 6, -4, 9,
 -9, -3, -6,
 4, 4, -4,
 -8, -6, 4,
 -2, 4, -3,
 -2, 0, 4,
 -3, -8, -5,
 -4, -4, 3,
 7, 2, -3,
 2, -4, 0,
 6, 7, 5,
 -7, -4, 6,
 7, -1, -11,
 -5, -12, 0,
 1, -5, -5,
 6, -2, -3,
 5, -10, 1,
 -1, -8, -8,
 -6, 1, -3,
 11, 4, 9,
 15, 6, -1,
 -12, 7, -5,
 -8, 3, -2,
 -2, -3, 6,
 -2, -8, -11,
 -4, 0, 4,
 2, 3, 1,
 -2, 2, -4,
 0, 5, 4,
 6, 2, -1,
 5, -2, -5,
 10, -7, 7,
 4, 5, 0,
 2, 2, -1,
 0, -4, -6,
 0, 0, 0,
 3, -6, 9,
 -10, 0, -3,
 -10, 0, 5,
 0, -5, 0,
 0, 11, 6,
 9, 7, -3,
 -7, -4, 8,
 0, -6, -12,
 4, -2, -2,
 -4, -4, -5,
 -2, 2, -14,
 5, 7, 3,
 -2, 0, 0,
 -8, -5, 3,
 2, -10, -6,
 -2, 7, 5,
 -4, -2, -5,
 -4, 4, -9,
 0, -4, -1,
 -4, -6, -7,
 -4, 8, 4,
 -3, 11, -4,
 0, 8, -7,
 7, 4, -2,
 -6, 3, 7,
 -2, -6, 0,
 -2, -2, 23,
 -8, -2, -2,
 -2, 6, 10,
 -9, 10, 0,
 -4, -6, -14,
 6, -6, 6,
 7, -10, 2,
 -5, -11, -3,
 8, -8, 9,
 2, -5, 16,
 -7, -2, -3,
 4, -2, -2,
 -4, -5, -8,
 7, -8, 12,
 -2, 0, -9,
 2, 0, -4,
 -2, -2, 2,
 -6, -2, -1,
 0, 0, 0,
 -6, -5, 1,
 -1, 0, 6,
 11, -9, -4,
 -3, -5, 3,
 6, 2, -14,
 0, -13, -21,
 9, 4, 6,
 2, -6, -9,
 0, -1, 13,
 -6, 3, -3,
 -8, 2, -3,
 -4, 5, 2,
 -6, 2, 5,
 0, 0, -7,
 -4, -7, -6,
 0, 11, -3,
 1, -8, 4,
 2, -6, -7,
 11, 4, -2,
 4, 3, 0,
 -2, -2, 6,
 4, -10, -8,
 -1, -6, -11,
 2, -8, -2,
 -2, -2, 2,
 0, -5, 11,
 -11, 2, -5,
 -10, 0, 3,
 -7, -2, -2,
 0, 10, 9,
 6, 6, -3,
 -4, -4, 5,
 -6, -8, 5,
 1, 7, 4,
 0, 5, 6,
 8, -6, -3,
 3, -4, -11,
 0, 0, 11,

